Round Number,Date,Location,Home Team,Away Team,Result
22,13/01/2019 21:48,Tottenham Hotspur Stadium,Spurs,Man Utd,0 - 1
22,15/01/2019 01:45,Etihad Stadium,Man City,Wolves,3 - 0
23,19/01/2019 18:15,Molineux Stadium,Wolves,Leicester,
23,19/01/2019 20:45,Vitality Stadium,Bournemouth,West Ham,
23,19/01/2019 20:45,Anfield,Liverpool,Crystal Palace,
23,19/01/2019 20:45,Old Trafford,Man Utd,Brighton,
23,19/01/2019 20:45,St. James' Park,Newcastle,Cardiff,
23,19/01/2019 20:45,St. Mary's Stadium,Southampton,Everton,
23,19/01/2019 20:45,Vicarage Road,Watford,Burnley,
23,19/01/2019 23:15,Emirates Stadium,Arsenal,Chelsea,
23,20/01/2019 19:15,John Smith's Stadium,Huddersfield,Man City,
23,20/01/2019 21:45,Craven Cottage,Fulham,Spurs,
24,30/01/2019 01:30,Emirates Stadium,Arsenal,Cardiff,
24,30/01/2019 01:30,Craven Cottage,Fulham,Brighton,
24,30/01/2019 01:30,John Smith's Stadium,Huddersfield,Everton,
24,30/01/2019 01:30,Molineux Stadium,Wolves,West Ham,
24,30/01/2019 01:45,Old Trafford,Man Utd,Burnley,
24,31/01/2019 01:30,Vitality Stadium,Bournemouth,Chelsea,
24,31/01/2019 01:30,St. Mary's Stadium,Southampton,Crystal Palace,
24,31/01/2019 01:45,St. James' Park,Newcastle,Man City,
24,31/01/2019 01:45,Anfield,Liverpool,Leicester,
24,31/01/2019 01:45,Tottenham Hotspur Stadium,Spurs,Watford,
25,02/02/2019 18:15,Tottenham Hotspur Stadium,Spurs,Newcastle,
25,02/02/2019 20:45,Amex Stadium,Brighton,Watford,
25,02/02/2019 20:45,Turf Moor,Burnley,Southampton,
25,02/02/2019 20:45,Stamford Bridge,Chelsea,Huddersfield,
25,02/02/2019 20:45,Selhurst Park,Crystal Palace,Fulham,
25,02/02/2019 20:45,Goodison Park,Everton,Wolves,
25,02/02/2019 23:15,Cardiff City Stadium,Cardiff,Bournemouth,
25,03/02/2019 19:50,King Power Stadium,Leicester,Man Utd,
25,03/02/2019 22:15,Etihad Stadium,Man City,Arsenal,
25,05/02/2019 01:45,London Stadium,West Ham,Liverpool,
26,09/02/2019 18:15,Craven Cottage,Fulham,Man Utd,
26,09/02/2019 20:45,Selhurst Park,Crystal Palace,West Ham,
26,09/02/2019 20:45,John Smith's Stadium,Huddersfield,Arsenal,
26,09/02/2019 20:45,Anfield,Liverpool,Bournemouth,
26,09/02/2019 20:45,St. Mary's Stadium,Southampton,Cardiff,
26,09/02/2019 20:45,Vicarage Road,Watford,Everton,
26,09/02/2019 23:15,Amex Stadium,Brighton,Burnley,
26,10/02/2019 19:15,Tottenham Hotspur Stadium,Spurs,Leicester,
26,10/02/2019 21:45,Etihad Stadium,Man City,Chelsea,
26,12/02/2019 01:45,Molineux Stadium,Wolves,Newcastle,
27,23/02/2019 01:30,Cardiff City Stadium,Cardiff,Watford,
27,23/02/2019 01:30,London Stadium,West Ham,Fulham,
27,23/02/2019 18:15,Turf Moor,Burnley,Spurs,
27,23/02/2019 20:45,Vitality Stadium,Bournemouth,Wolves,
27,23/02/2019 20:45,King Power Stadium,Leicester,Crystal Palace,
27,23/02/2019 20:45,St. James' Park,Newcastle,Huddersfield,
27,23/02/2019 23:15,Goodison Park,Everton,Man City,
27,24/02/2019 17:45,Stamford Bridge,Chelsea,Brighton,
27,24/02/2019 19:50,Emirates Stadium,Arsenal,Southampton,
27,24/02/2019 19:50,Old Trafford,Man Utd,Liverpool,
28,27/02/2019 01:30,Cardiff City Stadium,Cardiff,Everton,
28,27/02/2019 01:30,John Smith's Stadium,Huddersfield,Wolves,
28,27/02/2019 01:30,King Power Stadium,Leicester,Brighton,
28,27/02/2019 01:45,Etihad Stadium,Man City,West Ham,
28,28/02/2019 01:30,Emirates Stadium,Arsenal,Bournemouth,
28,28/02/2019 01:30,St. James' Park,Newcastle,Burnley,
28,28/02/2019 01:30,St. Mary's Stadium,Southampton,Fulham,
28,28/02/2019 01:45,Selhurst Park,Crystal Palace,Man Utd,
28,28/02/2019 01:45,Stamford Bridge,Chelsea,Spurs,
28,28/02/2019 01:45,Anfield,Liverpool,Watford,
29,02/03/2019 20:45,Vitality Stadium,Bournemouth,Man City,
29,02/03/2019 20:45,Amex Stadium,Brighton,Huddersfield,
29,02/03/2019 20:45,Turf Moor,Burnley,Crystal Palace,
